,0
sensor_4_roll_mean,0.6397347919818908
sensor_11_baseline_adj,0.09999962739768688
sensor_11_roll_mean,0.035147232952455185
sensor_9,0.03288259819110408
sensor_15_roll_mean,0.03166479874698411
sensor_15_baseline_adj,0.016995823504172818
sensor_14,0.013707382125729143
sensor_2_roll_mean,0.012583797556777113
sensor_20_baseline_adj,0.012187166323684094
sensor_7_baseline_adj,0.010592911426584518
sensor_21_roll_mean,0.010568496108041822
sensor_4_baseline_adj,0.009297338704909014
sensor_12_baseline_adj,0.00912237510769366
sensor_7_roll_mean,0.0057584265651216115
sensor_17_roll_mean,0.005633703675531807
sensor_20_roll_mean,0.005485907540921398
sensor_12_roll_mean,0.004193046557095931
sensor_11,0.0038208479303189903
sensor_17_baseline_adj,0.003196037914620062
sensor_2_baseline_adj,0.0029008397436565934
sensor_21_baseline_adj,0.002860518783028643
sensor_2_roll_std,0.0023152921896388875
sensor_20_roll_std,0.0022342781336780505
sensor_21_roll_std,0.002162538507445312
sensor_12_roll_std,0.002159914151302489
sensor_11_roll_std,0.0021151788846523936
sensor_4_roll_std,0.0021096010361590285
sensor_7_roll_std,0.00205271831576315
sensor_15_roll_std,0.002028218982519696
sensor_17_roll_std,0.0018789056775399952
sensor_20,0.0015086416005340936
sensor_15,0.001443168250301575
sensor_4,0.0011963654799317738
sensor_12,0.0011343774140611012
sensor_3,0.0010967876067555541
sensor_7,0.0010605452300379411
op_setting_1,0.0009655015031379159
sensor_21,0.0009431395763594924
sensor_2,0.0008875507785485858
sensor_13,0.0007972210232901627
sensor_8,0.0007231377581618017
op_setting_2,0.0005499829875957084
sensor_17,0.00029320047019784824
sensor_6,1.006560437919276e-05
